Word,Count,Transcription
good,4,job_interview_english_mono.txt
have,2,job_interview_english_mono.txt
name,5,job_interview_english_mono.txt
is,11,job_interview_english_mono.txt
james,1,job_interview_english_mono.txt
i,10,job_interview_english_mono.txt
am,5,job_interview_english_mono.txt
ceo,1,job_interview_english_mono.txt
of,3,job_interview_english_mono.txt
this,1,job_interview_english_mono.txt
jennifer,4,job_interview_english_mono.txt
nice,1,job_interview_english_mono.txt
meet,1,job_interview_english_mono.txt
are,4,job_interview_english_mono.txt
yes,1,job_interview_english_mono.txt
im,3,job_interview_english_mono.txt
tell,1,job_interview_english_mono.txt
very,1,job_interview_english_mono.txt
an,1,job_interview_english_mono.txt
opportunity,1,job_interview_english_mono.txt
myself,2,job_interview_english_mono.txt
basically,1,job_interview_english_mono.txt
texas,1,job_interview_english_mono.txt
but,1,job_interview_english_mono.txt
in,6,job_interview_english_mono.txt
cambridge,1,job_interview_english_mono.txt
beacom,1,job_interview_english_mono.txt
graduate,1,job_interview_english_mono.txt
now,1,job_interview_english_mono.txt
university,2,job_interview_english_mono.txt
two,1,job_interview_english_mono.txt
years,3,job_interview_english_mono.txt
human,1,job_interview_english_mono.txt
resources,1,job_interview_english_mono.txt
father,1,job_interview_english_mono.txt
john,1,job_interview_english_mono.txt
walker,1,job_interview_english_mono.txt
he,1,job_interview_english_mono.txt
grace,1,job_interview_english_mono.txt
books,1,job_interview_english_mono.txt
listening,1,job_interview_english_mono.txt
music,1,job_interview_english_mono.txt
traveling,1,job_interview_english_mono.txt
strength,2,job_interview_english_mono.txt
selfmotivated,1,job_interview_english_mono.txt
work,2,job_interview_english_mono.txt
feel,1,job_interview_english_mono.txt
comfortable,1,job_interview_english_mono.txt
completing,1,job_interview_english_mono.txt
career,2,job_interview_english_mono.txt
shortterm,1,job_interview_english_mono.txt
goal,2,job_interview_english_mono.txt
job,1,job_interview_english_mono.txt
where,2,job_interview_english_mono.txt
utilize,1,job_interview_english_mono.txt
improve,1,job_interview_english_mono.txt
path,1,job_interview_english_mono.txt
longterm,1,job_interview_english_mono.txt
position,2,job_interview_english_mono.txt
married,1,job_interview_english_mono.txt
unmarried,2,job_interview_english_mono.txt
do,1,job_interview_english_mono.txt
after,1,job_interview_english_mono.txt
would,1,job_interview_english_mono.txt
like,1,job_interview_english_mono.txt
morning,2,job_interview_english_mono.txt
sir,4,job_interview_english_mono.txt
please,1,job_interview_english_mono.txt
your,4,job_interview_english_mono.txt
seat,1,job_interview_english_mono.txt
thank,3,job_interview_english_mono.txt
you,7,job_interview_english_mono.txt
my,13,job_interview_english_mono.txt
anderson,1,job_interview_english_mono.txt
the,3,job_interview_english_mono.txt
company,2,job_interview_english_mono.txt
hudson,2,job_interview_english_mono.txt
its,1,job_interview_english_mono.txt
to,6,job_interview_english_mono.txt
how,1,job_interview_english_mono.txt
doing,1,job_interview_english_mono.txt
okay,2,job_interview_english_mono.txt
me,2,job_interview_english_mono.txt
about,2,job_interview_english_mono.txt
yourself,2,job_interview_english_mono.txt
first,1,job_interview_english_mono.txt
all,1,job_interview_english_mono.txt
much,1,job_interview_english_mono.txt
for,1,job_interview_english_mono.txt
giving,1,job_interview_english_mono.txt
introduce,1,job_interview_english_mono.txt
from,2,job_interview_english_mono.txt
stay,1,job_interview_english_mono.txt
a,5,job_interview_english_mono.txt
pursuing,1,job_interview_english_mono.txt
mba,1,job_interview_english_mono.txt
harvard,2,job_interview_english_mono.txt
experience,1,job_interview_english_mono.txt
professor,1,job_interview_english_mono.txt
mother,1,job_interview_english_mono.txt
nancy,1,job_interview_english_mono.txt
shes,1,job_interview_english_mono.txt
writer,1,job_interview_english_mono.txt
hobbies,1,job_interview_english_mono.txt
reading,1,job_interview_english_mono.txt
cooking,1,job_interview_english_mono.txt
and,4,job_interview_english_mono.txt
what,3,job_interview_english_mono.txt
honest,1,job_interview_english_mono.txt
hardworking,1,job_interview_english_mono.txt
confident,1,job_interview_english_mono.txt
weakness,2,job_interview_english_mono.txt
will,1,job_interview_english_mono.txt
not,2,job_interview_english_mono.txt
if,1,job_interview_english_mono.txt
within,1,job_interview_english_mono.txt
given,1,job_interview_english_mono.txt
time,1,job_interview_english_mono.txt
goals,1,job_interview_english_mono.txt
get,1,job_interview_english_mono.txt
repeated,1,job_interview_english_mono.txt
can,1,job_interview_english_mono.txt
skills,1,job_interview_english_mono.txt
be,1,job_interview_english_mono.txt
respectable,1,job_interview_english_mono.txt
that,1,job_interview_english_mono.txt
organization,1,job_interview_english_mono.txt
or,2,job_interview_english_mono.txt
see,2,job_interview_english_mono.txt
5,2,job_interview_english_mono.txt
